CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842,1425.426525,0.0,12,7
C10059,2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0,42,7500.0,5678.729613,1311.514878,0.083333,12,7
C10074,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,7000.0,28232.69446,1107.030803,0.454545,12,7
C10088,1935.362486,1.0,4915.6,4515.34,400.26,293.844792,1.0,1.0,0.333333,0.083333,1,50,9000.0,4921.066897,594.756686,0.0,12,7
C10095,9381.255094,1.0,5100.07,1147.83,3952.24,370.737197,1.0,0.25,0.916667,0.083333,1,46,9000.0,6409.496345,9827.045323,0.0,12,7
C10114,6644.201651,1.0,4478.75,2721.59,1757.16,7205.520805,1.0,0.916667,1.0,0.583333,21,64,9000.0,10857.94321,2469.571326,0.083333,12,7
C10127,2114.158683,1.0,5580.85,0.0,5580.85,0.0,1.0,0.0,1.0,0.0,0,75,8500.0,3564.977774,630.00413,0.0,12,7
C10142,2494.868559,1.0,5491.79,1390.5,4101.29,0.0,1.0,0.5,1.0,0.0,0,52,17000.0,1015.311953,615.92402,0.0,12,7
C10150,2163.678757,1.0,5779.36,3436.53,2342.83,0.0,1.0,1.0,1.0,0.0,0,97,6500.0,4416.41268,546.439139,0.0,12,7
C10157,1523.911458,1.0,4075.37,3322.28,753.09,0.0,1.0,1.0,1.0,0.0,0,31,6500.0,2254.26002,329.29648,0.0,12,7
C10162,5837.105453,1.0,3488.49,3262.25,226.24,3303.1523,1.0,1.0,0.5,0.75,15,46,7900.0,0.0,,0.0,12,7
C10173,595.677343,1.0,5078.14,4330.53,747.61,1424.442602,0.916667,0.666667,0.75,0.083333,1,42,15000.0,4756.654374,241.894073,0.916667,12,7
C10228,2422.311938,1.0,4490.69,3456.25,1034.44,188.783221,1.0,0.916667,1.0,0.083333,1,52,8500.0,5763.666926,582.589765,0.0,12,7
C10251,1272.927288,1.0,5350.19,4783.34,566.85,0.0,1.0,1.0,0.916667,0.0,0,101,8000.0,5825.602115,318.305326,0.166667,12,7
C10258,7938.559134,1.0,3677.52,3543.73,133.79,0.0,1.0,1.0,0.5,0.0,0,98,12500.0,2657.856602,1912.298544,0.0,12,7
C10271,2224.590946,0.818182,3183.0,3183.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,9000.0,3823.346244,629.080506,0.0,12,7
C10281,535.947221,1.0,4550.81,3016.98,1533.83,438.469118,1.0,0.916667,1.0,0.083333,1,99,8500.0,4317.191232,208.73456,0.916667,12,7
C10291,7645.108427,1.0,4693.15,4332.65,360.5,0.0,0.5,0.416667,0.333333,0.0,0,12,13500.0,4786.64868,1741.158024,0.0,12,7
C10306,635.090434,0.818182,5758.71,2252.37,3506.34,0.0,0.75,0.25,0.75,0.0,0,48,2900.0,7943.57021,197.416104,1.0,12,7
C10323,515.904786,1.0,5359.02,2399.78,2959.24,0.0,1.0,1.0,1.0,0.0,0,60,6000.0,0.0,,0.0,12,7
C10340,353.198215,1.0,3085.69,3032.97,52.72,0.0,1.0,1.0,0.083333,0.0,0,21,8500.0,2690.525687,192.66679,1.0,12,7
C10348,498.208616,1.0,4786.61,4397.64,388.97,0.0,0.916667,0.833333,0.5,0.0,0,61,9000.0,3805.669705,163.459999,1.0,12,7
C10385,1128.229387,1.0,5068.88,3529.88,1539.0,0.0,1.0,1.0,1.0,0.0,0,76,4500.0,3904.568067,373.931063,0.083333,12,7
C10388,11278.95243,1.0,6855.59,2762.92,4092.67,0.0,0.916667,0.75,0.833333,0.0,0,39,18500.0,4868.088671,2861.890896,0.0,12,7
C10397,507.144348,1.0,5708.18,4584.78,1123.4,0.0,1.0,0.75,0.75,0.0,0,47,4000.0,5589.952268,232.131169,1.0,12,7
C10432,6404.955912,1.0,3970.8,2267.0,1703.8,0.0,1.0,0.583333,0.916667,0.0,0,64,7500.0,3879.252512,1868.983718,0.0,12,7
C10460,3143.928913,1.0,3055.87,3055.87,0.0,0.0,0.75,0.75,0.0,0.0,0,26,4500.0,2198.293667,784.387878,0.0,12,7
C10477,1492.039988,1.0,4106.15,2688.46,1417.69,734.816479,0.333333,0.25,0.416667,0.083333,1,50,12000.0,9678.173119,606.899183,0.5,12,7
C10487,6426.639738,1.0,4462.86,2816.46,1646.4,4599.625146,1.0,0.833333,0.916667,0.333333,11,103,11800.0,1793.043228,3101.01703,0.0,12,7
C10506,285.813075,1.0,3220.09,2941.39,278.7,0.0,1.0,1.0,0.416667,0.0,0,24,15000.0,826.764555,212.075152,1.0,12,7
C10509,327.445978,1.0,4305.05,2905.71,1399.34,0.0,1.0,0.916667,0.916667,0.0,0,38,9500.0,4030.061017,197.534405,0.666667,12,7
C10537,1191.584153,1.0,4238.79,2220.39,2018.4,0.0,1.0,0.5,1.0,0.0,0,33,10500.0,3528.728592,287.515344,0.083333,12,7
C10548,4507.733288,1.0,4754.32,3636.53,1117.79,0.0,1.0,0.833333,0.75,0.0,0,43,9500.0,1924.73689,957.077692,0.0,12,7
C10558,2883.906333,1.0,4620.34,4300.42,319.92,0.0,1.0,0.583333,1.0,0.0,0,21,7500.0,6476.333335,1090.368608,0.083333,12,7
C10569,5178.179489,1.0,3937.59,2606.42,1331.17,0.0,1.0,0.75,0.833333,0.0,0,54,9500.0,1248.498168,1143.849403,0.0,12,7
C10572,492.070146,0.8,4924.41,4924.41,0.0,0.0,0.8,0.8,0.0,0.0,0,48,10500.0,3430.597877,149.408227,1.0,10,7
C10575,8997.488544,1.0,4604.72,4020.33,584.39,1854.533843,0.916667,0.666667,0.75,0.166667,8,46,9000.0,4201.889848,7060.930982,0.0,12,7
C10605,313.387813,1.0,3608.88,2124.75,1484.13,0.0,1.0,0.75,0.75,0.0,0,37,15000.0,2419.651857,182.527745,1.0,12,7
C10635,7155.328723,1.0,3837.59,1860.18,1977.41,14811.68818,1.0,0.916667,1.0,0.916667,51,52,9500.0,17739.94594,2500.582848,0.0,12,7
C10654,544.879717,1.0,6477.6,3301.6,3176.0,0.0,1.0,1.0,0.916667,0.0,0,83,7500.0,6381.236136,235.661045,0.833333,12,7
C10668,306.877248,1.0,3877.85,2183.56,1694.29,0.0,0.916667,0.666667,0.75,0.0,0,29,12500.0,3639.443058,205.024983,1.0,12,7
C10669,14411.95798,1.0,5958.17,3161.46,2796.71,0.0,1.0,0.583333,1.0,0.0,0,98,15000.0,7839.750264,8096.79502,0.0,12,7
C10670,1759.969888,1.0,5969.33,3755.24,2214.09,1777.022586,1.0,1.0,1.0,0.25,4,92,16500.0,7272.999505,445.131364,0.25,12,7
C10682,558.989996,0.818182,4552.44,1234.0,3318.44,0.0,0.75,0.166667,0.583333,0.0,0,15,5000.0,5496.343824,173.931803,1.0,12,7
C10684,3808.073463,0.909091,6030.34,2874.89,3155.45,7279.880364,1.0,0.5,1.0,0.5,62,104,7000.0,17084.85192,2068.25205,0.090909,12,7
C10688,408.069031,1.0,3660.97,3660.97,0.0,0.0,1.0,1.0,0.0,0.0,0,33,7500.0,4471.044825,188.409994,0.666667,12,7
